Epoch:0	Accuracy:0.114375
Epoch:1	Accuracy:0.213125
Epoch:2	Accuracy:0.213125
Epoch:3	Accuracy:0.21375000000000002
Epoch:4	Accuracy:0.21375000000000002
Epoch:5	Accuracy:0.213125
Epoch:6	Accuracy:0.213125
Epoch:7	Accuracy:0.21375000000000002
Epoch:8	Accuracy:0.21375000000000002
Epoch:9	Accuracy:0.213125
Epoch:10	Accuracy:0.213125
Epoch:11	Accuracy:0.21375000000000002
Epoch:12	Accuracy:0.213125
Epoch:13	Accuracy:0.213125
Epoch:14	Accuracy:0.210625
Epoch:15	Accuracy:0.213125
Epoch:16	Accuracy:0.21250000000000005
Epoch:17	Accuracy:0.213125
Epoch:18	Accuracy:0.213125
Epoch:19	Accuracy:0.21187500000000004
Epoch:20	Accuracy:0.2125
Epoch:21	Accuracy:0.21437500000000004
Epoch:22	Accuracy:0.21250000000000005
Epoch:23	Accuracy:0.21187499999999998
Epoch:24	Accuracy:0.2125
Epoch:25	Accuracy:0.213125
Epoch:26	Accuracy:0.21250000000000005
Epoch:27	Accuracy:0.213125
Epoch:28	Accuracy:0.21500000000000002
Epoch:29	Accuracy:0.21187499999999998
Epoch:30	Accuracy:0.213125
Epoch:31	Accuracy:0.21375000000000002
Epoch:32	Accuracy:0.21375000000000002
Epoch:33	Accuracy:0.21437500000000004
Epoch:34	Accuracy:0.21812499999999999
Epoch:35	Accuracy:0.21187499999999998
Epoch:36	Accuracy:0.2125
Epoch:37	Accuracy:0.21625
Epoch:38	Accuracy:0.2125
Epoch:39	Accuracy:0.21812500000000004
Epoch:40	Accuracy:0.215625
Epoch:41	Accuracy:0.21374999999999997
Epoch:42	Accuracy:0.215
Epoch:43	Accuracy:0.216875
Epoch:44	Accuracy:0.21375000000000002
Epoch:45	Accuracy:0.21875
Epoch:46	Accuracy:0.22374999999999998
Epoch:47	Accuracy:0.21937500000000001
Epoch:48	Accuracy:0.21937500000000001
Epoch:49	Accuracy:0.22312499999999996
Epoch:50	Accuracy:0.22374999999999998
Epoch:51	Accuracy:0.22562500000000002
Epoch:52	Accuracy:0.225
Epoch:53	Accuracy:0.22749999999999998
Epoch:54	Accuracy:0.23312499999999997
Epoch:55	Accuracy:0.23062500000000002
Epoch:56	Accuracy:0.22312499999999996
Epoch:57	Accuracy:0.231875
Epoch:58	Accuracy:0.225
Epoch:59	Accuracy:0.23125
Epoch:60	Accuracy:0.23874999999999993
Epoch:61	Accuracy:0.24000000000000005
Epoch:62	Accuracy:0.25125
Epoch:63	Accuracy:0.253125
Epoch:64	Accuracy:0.253125
Epoch:65	Accuracy:0.259375
Epoch:66	Accuracy:0.2675
Epoch:67	Accuracy:0.265
Epoch:68	Accuracy:0.265
Epoch:69	Accuracy:0.27625
Epoch:70	Accuracy:0.2743749999999999
Epoch:71	Accuracy:0.284375
Epoch:72	Accuracy:0.27875
Epoch:73	Accuracy:0.28375
Epoch:74	Accuracy:0.29250000000000004
Epoch:75	Accuracy:0.28687500000000005
Epoch:76	Accuracy:0.308125
Epoch:77	Accuracy:0.29500000000000004
Epoch:78	Accuracy:0.29937499999999995
Epoch:79	Accuracy:0.31437499999999996
Epoch:80	Accuracy:0.30875
Epoch:81	Accuracy:0.320625
Epoch:82	Accuracy:0.32874999999999993
Epoch:83	Accuracy:0.3375
Epoch:84	Accuracy:0.34062499999999996
Epoch:85	Accuracy:0.33187500000000003
Epoch:86	Accuracy:0.33937500000000004
Epoch:87	Accuracy:0.340625
Epoch:88	Accuracy:0.34312499999999996
Epoch:89	Accuracy:0.34812499999999996
Epoch:90	Accuracy:0.34624999999999995
Epoch:91	Accuracy:0.34937499999999994
Epoch:92	Accuracy:0.35374999999999995
Epoch:93	Accuracy:0.36250000000000004
Epoch:94	Accuracy:0.34875
Epoch:95	Accuracy:0.35625
Epoch:96	Accuracy:0.35625
Epoch:97	Accuracy:0.36374999999999996
Epoch:98	Accuracy:0.366875
Epoch:99	Accuracy:0.3625
Epoch:100	Accuracy:0.361875
