Epoch:0	Accuracy:0.11625
Epoch:1	Accuracy:0.14312500000000003
Epoch:2	Accuracy:0.2125
Epoch:3	Accuracy:0.21437500000000004
Epoch:4	Accuracy:0.21625000000000005
Epoch:5	Accuracy:0.21437500000000004
Epoch:6	Accuracy:0.21562500000000004
Epoch:7	Accuracy:0.213125
Epoch:8	Accuracy:0.21375000000000002
Epoch:9	Accuracy:0.21375000000000002
Epoch:10	Accuracy:0.21375000000000002
Epoch:11	Accuracy:0.21500000000000002
Epoch:12	Accuracy:0.21375000000000002
Epoch:13	Accuracy:0.21500000000000002
Epoch:14	Accuracy:0.21375000000000002
Epoch:15	Accuracy:0.21437500000000004
Epoch:16	Accuracy:0.21437500000000004
Epoch:17	Accuracy:0.21500000000000002
Epoch:18	Accuracy:0.21562500000000004
Epoch:19	Accuracy:0.21562500000000004
Epoch:20	Accuracy:0.21437500000000004
Epoch:21	Accuracy:0.21375000000000002
Epoch:22	Accuracy:0.213125
Epoch:23	Accuracy:0.21437500000000004
Epoch:24	Accuracy:0.21437500000000004
Epoch:25	Accuracy:0.21625000000000005
Epoch:26	Accuracy:0.21437500000000004
Epoch:27	Accuracy:0.21562500000000004
Epoch:28	Accuracy:0.21437500000000004
Epoch:29	Accuracy:0.21437500000000004
Epoch:30	Accuracy:0.21562500000000004
Epoch:31	Accuracy:0.21562500000000004
Epoch:32	Accuracy:0.21625000000000005
Epoch:33	Accuracy:0.21500000000000002
Epoch:34	Accuracy:0.21437500000000004
Epoch:35	Accuracy:0.21625000000000005
Epoch:36	Accuracy:0.21437500000000004
Epoch:37	Accuracy:0.21437500000000004
Epoch:38	Accuracy:0.213125
Epoch:39	Accuracy:0.2125
Epoch:40	Accuracy:0.21625
Epoch:41	Accuracy:0.21812500000000004
Epoch:42	Accuracy:0.21437500000000004
Epoch:43	Accuracy:0.21749999999999997
Epoch:44	Accuracy:0.21937500000000004
Epoch:45	Accuracy:0.21875
Epoch:46	Accuracy:0.21625
Epoch:47	Accuracy:0.220625
Epoch:48	Accuracy:0.21937500000000001
Epoch:49	Accuracy:0.224375
Epoch:50	Accuracy:0.22312499999999996
Epoch:51	Accuracy:0.22562500000000002
Epoch:52	Accuracy:0.22312500000000002
Epoch:53	Accuracy:0.22874999999999995
Epoch:54	Accuracy:0.225
Epoch:55	Accuracy:0.22749999999999998
Epoch:56	Accuracy:0.23125
Epoch:57	Accuracy:0.22562500000000002
Epoch:58	Accuracy:0.22812499999999997
Epoch:59	Accuracy:0.23499999999999996
Epoch:60	Accuracy:0.23125
Epoch:61	Accuracy:0.23625
Epoch:62	Accuracy:0.23500000000000001
Epoch:63	Accuracy:0.23562499999999997
Epoch:64	Accuracy:0.23874999999999996
Epoch:65	Accuracy:0.241875
Epoch:66	Accuracy:0.24812499999999998
Epoch:67	Accuracy:0.24874999999999997
Epoch:68	Accuracy:0.24500000000000002
Epoch:69	Accuracy:0.2431249999999999
Epoch:70	Accuracy:0.2375
Epoch:71	Accuracy:0.24937500000000004
Epoch:72	Accuracy:0.24937500000000004
Epoch:73	Accuracy:0.25562499999999994
Epoch:74	Accuracy:0.25
Epoch:75	Accuracy:0.24562499999999998
Epoch:76	Accuracy:0.24875000000000003
Epoch:77	Accuracy:0.240625
