Epoch:0	ItemNet(SE):1.2364952564239502	NNL:5.986585560250787
Epoch:1	ItemNet(SE):1.229970097541809	NNL:4.837352541659743
Epoch:2	ItemNet(SE):1.229519009590149	NNL:4.650182501610289
Epoch:3	ItemNet(SE):1.2284997701644897	NNL:4.454534499797416
Epoch:4	ItemNet(SE):1.2247403860092163	NNL:4.259388364426632
Epoch:5	ItemNet(SE):1.2231922149658203	NNL:4.131480359016582
Epoch:6	ItemNet(SE):1.2212103605270386	NNL:4.032881706724777
Epoch:7	ItemNet(SE):1.219244360923767	NNL:3.9542441428975854
Epoch:8	ItemNet(SE):1.2190172672271729	NNL:3.8886265758757874
Epoch:9	ItemNet(SE):1.2158328294754028	NNL:3.8289321120241815
Epoch:10	ItemNet(SE):1.212422490119934	NNL:3.777313183723613
Epoch:11	ItemNet(SE):1.2133431434631348	NNL:3.731195310227413
Epoch:12	ItemNet(SE):1.2120323181152344	NNL:3.6851404376740153
Epoch:13	ItemNet(SE):1.2113920450210571	NNL:3.6432965964459356
Epoch:14	ItemNet(SE):1.21027410030365	NNL:3.6062296863312415
Epoch:15	ItemNet(SE):1.2065377235412598	NNL:3.567960138523835
Epoch:16	ItemNet(SE):1.2076119184494019	NNL:3.532802349658723
Epoch:17	ItemNet(SE):1.2067906856536865	NNL:3.497267459301238
Epoch:18	ItemNet(SE):1.2006940841674805	NNL:3.4605013388775743
Epoch:19	ItemNet(SE):1.2042425870895386	NNL:3.4262000810339095
Epoch:20	ItemNet(SE):1.20414137840271	NNL:3.3951451403029442
Epoch:21	ItemNet(SE):1.1993417739868164	NNL:3.3698405927292825
Epoch:22	ItemNet(SE):1.202508568763733	NNL:3.343227860471033
Epoch:23	ItemNet(SE):1.1987876892089844	NNL:3.3087788748233855
Epoch:24	ItemNet(SE):1.2019281387329102	NNL:3.274345329771653
Epoch:25	ItemNet(SE):1.2033945322036743	NNL:3.2464219973949673
Epoch:26	ItemNet(SE):1.200909972190857	NNL:3.2167152550879954
Epoch:27	ItemNet(SE):1.198664665222168	NNL:3.1882234954833995
Epoch:28	ItemNet(SE):1.201799750328064	NNL:3.1578664024840006
Epoch:29	ItemNet(SE):1.199868083000183	NNL:3.1256585255075016
Epoch:30	ItemNet(SE):1.1966837644577026	NNL:3.095795057580825
Epoch:31	ItemNet(SE):1.197864294052124	NNL:3.0712301911699007
Epoch:32	ItemNet(SE):1.197930097579956	NNL:3.050461289426116
Epoch:33	ItemNet(SE):1.197204828262329	NNL:3.0233853068250296
Epoch:34	ItemNet(SE):1.197405457496643	NNL:2.9949990309045686
Epoch:35	ItemNet(SE):1.1989737749099731	NNL:2.9660403482964717
Epoch:36	ItemNet(SE):1.1949526071548462	NNL:2.9400184087550385
Epoch:37	ItemNet(SE):1.1953709125518799	NNL:2.914718640915892
Epoch:38	ItemNet(SE):1.1976431608200073	NNL:2.8861917300934468
Epoch:39	ItemNet(SE):1.1967427730560303	NNL:2.8574403316416643
Epoch:40	ItemNet(SE):1.1912503242492676	NNL:2.8299651791187044
Epoch:41	ItemNet(SE):1.1982097625732422	NNL:2.8033116523255694
Epoch:42	ItemNet(SE):1.196778416633606	NNL:2.7794236041129907
Epoch:43	ItemNet(SE):1.1947914361953735	NNL:2.758740673471005
Epoch:44	ItemNet(SE):1.1944338083267212	NNL:2.7383440642661236
Epoch:45	ItemNet(SE):1.1970993280410767	NNL:2.713368868726366
Epoch:46	ItemNet(SE):1.1949653625488281	NNL:2.683585815429687
Epoch:47	ItemNet(SE):1.1962933540344238	NNL:2.652800944713836
Epoch:48	ItemNet(SE):1.1958556175231934	NNL:2.6208250565224507
Epoch:49	ItemNet(SE):1.1945980787277222	NNL:2.592070198870719
Epoch:50	ItemNet(SE):1.1942698955535889	NNL:2.5676342302687614
Epoch:51	ItemNet(SE):1.1953455209732056	NNL:2.5526167557087343
Epoch:52	ItemNet(SE):1.194494605064392	NNL:2.5346146855455762
Epoch:53	ItemNet(SE):1.194082498550415	NNL:2.5204799262513506
Epoch:54	ItemNet(SE):1.195833683013916	NNL:2.4962146726567704
Epoch:55	ItemNet(SE):1.1969256401062012	NNL:2.4582211782577192
Epoch:56	ItemNet(SE):1.1972006559371948	NNL:2.417853702788657
Epoch:57	ItemNet(SE):1.1963365077972412	NNL:2.3813344874280573
Epoch:58	ItemNet(SE):1.1963144540786743	NNL:2.351487025808781
Epoch:59	ItemNet(SE):1.1945722103118896	NNL:2.333511226735217
