Epoch:0	Accuracy:0.1675
Epoch:1	Accuracy:0.21375000000000002
Epoch:2	Accuracy:0.21437500000000004
Epoch:3	Accuracy:0.21375000000000002
Epoch:4	Accuracy:0.21437500000000004
Epoch:5	Accuracy:0.21375000000000002
Epoch:6	Accuracy:0.21437500000000004
Epoch:7	Accuracy:0.21375000000000002
Epoch:8	Accuracy:0.21437500000000004
Epoch:9	Accuracy:0.21375000000000002
Epoch:10	Accuracy:0.21437500000000004
Epoch:11	Accuracy:0.215
Epoch:12	Accuracy:0.21375000000000002
Epoch:13	Accuracy:0.21500000000000002
Epoch:14	Accuracy:0.21500000000000002
Epoch:15	Accuracy:0.21625
Epoch:16	Accuracy:0.21500000000000002
Epoch:17	Accuracy:0.21375000000000002
Epoch:18	Accuracy:0.215
Epoch:19	Accuracy:0.21625
Epoch:20	Accuracy:0.21375000000000002
Epoch:21	Accuracy:0.216875
Epoch:22	Accuracy:0.21625
Epoch:23	Accuracy:0.21812499999999999
Epoch:24	Accuracy:0.21625
Epoch:25	Accuracy:0.21937500000000001
Epoch:26	Accuracy:0.21875000000000006
Epoch:27	Accuracy:0.21875000000000006
Epoch:28	Accuracy:0.22187499999999996
Epoch:29	Accuracy:0.22562500000000005
Epoch:30	Accuracy:0.22499999999999995
Epoch:31	Accuracy:0.22312499999999996
Epoch:32	Accuracy:0.228125
Epoch:33	Accuracy:0.221875
Epoch:34	Accuracy:0.22624999999999998
Epoch:35	Accuracy:0.22999999999999993
Epoch:36	Accuracy:0.230625
Epoch:37	Accuracy:0.23500000000000001
Epoch:38	Accuracy:0.24124999999999996
Epoch:39	Accuracy:0.24312499999999998
Epoch:40	Accuracy:0.24500000000000002
Epoch:41	Accuracy:0.241875
Epoch:42	Accuracy:0.255625
Epoch:43	Accuracy:0.250625
Epoch:44	Accuracy:0.25375000000000003
Epoch:45	Accuracy:0.25125000000000003
Epoch:46	Accuracy:0.25625000000000003
Epoch:47	Accuracy:0.25625000000000003
Epoch:48	Accuracy:0.26
Epoch:49	Accuracy:0.26125000000000004
Epoch:50	Accuracy:0.26187499999999997
Epoch:51	Accuracy:0.259375
Epoch:52	Accuracy:0.27562500000000006
Epoch:53	Accuracy:0.283125
Epoch:54	Accuracy:0.28874999999999995
Epoch:55	Accuracy:0.31
Epoch:56	Accuracy:0.309375
Epoch:57	Accuracy:0.31999999999999995
Epoch:58	Accuracy:0.32375000000000004
Epoch:59	Accuracy:0.3324999999999999
Epoch:60	Accuracy:0.3368749999999999
Epoch:61	Accuracy:0.33062499999999995
Epoch:62	Accuracy:0.336875
Epoch:63	Accuracy:0.33437500000000003
Epoch:64	Accuracy:0.33999999999999997
Epoch:65	Accuracy:0.343125
Epoch:66	Accuracy:0.343125
Epoch:67	Accuracy:0.349375
Epoch:68	Accuracy:0.35374999999999995
Epoch:69	Accuracy:0.35749999999999993
Epoch:70	Accuracy:0.34937500000000005
Epoch:71	Accuracy:0.36
Epoch:72	Accuracy:0.356875
Epoch:73	Accuracy:0.353125
Epoch:74	Accuracy:0.354375
Epoch:75	Accuracy:0.35
Epoch:76	Accuracy:0.34750000000000003
Epoch:77	Accuracy:0.36124999999999996
