Epoch:0	ItemNet(SE):1.1848243474960327	NNL:5.678841922476268
Epoch:1	ItemNet(SE):1.1804777383804321	NNL:4.790745792357387
Epoch:2	ItemNet(SE):1.1781014204025269	NNL:4.728895506551437
Epoch:3	ItemNet(SE):1.1755480766296387	NNL:4.6112642824787775
Epoch:4	ItemNet(SE):1.1720731258392334	NNL:4.43883738040136
Epoch:5	ItemNet(SE):1.1697636842727661	NNL:4.312807872677633
Epoch:6	ItemNet(SE):1.1664955615997314	NNL:4.229470980053101
Epoch:7	ItemNet(SE):1.1629434823989868	NNL:4.160039591639495
Epoch:8	ItemNet(SE):1.161296010017395	NNL:4.0990503542561125
Epoch:9	ItemNet(SE):1.159891963005066	NNL:4.046555524841812
Epoch:10	ItemNet(SE):1.1589282751083374	NNL:4.000809567538169
Epoch:11	ItemNet(SE):1.157127857208252	NNL:3.9596442477643965
Epoch:12	ItemNet(SE):1.155665636062622	NNL:3.9236512420906515
Epoch:13	ItemNet(SE):1.1549718379974365	NNL:3.8913567050902316
Epoch:14	ItemNet(SE):1.1538437604904175	NNL:3.8626078488688846
Epoch:15	ItemNet(SE):1.152823567390442	NNL:3.8368594849641657
Epoch:16	ItemNet(SE):1.1515928506851196	NNL:3.814027127604839
Epoch:17	ItemNet(SE):1.152577519416809	NNL:3.793050750732425
Epoch:18	ItemNet(SE):1.151133418083191	NNL:3.773019640709743
Epoch:19	ItemNet(SE):1.1506041288375854	NNL:3.7545751130915863
Epoch:20	ItemNet(SE):1.1492187976837158	NNL:3.7367872427948274
