Epoch:0	Accuracy:0.12125000000000001
Epoch:1	Accuracy:0.21375000000000002
Epoch:2	Accuracy:0.21375000000000002
Epoch:3	Accuracy:0.21437500000000004
Epoch:4	Accuracy:0.21437500000000004
Epoch:5	Accuracy:0.21375000000000002
Epoch:6	Accuracy:0.21375000000000002
Epoch:7	Accuracy:0.21375000000000002
Epoch:8	Accuracy:0.213125
Epoch:9	Accuracy:0.21375000000000002
Epoch:10	Accuracy:0.21375000000000002
Epoch:11	Accuracy:0.21500000000000002
Epoch:12	Accuracy:0.21437500000000004
Epoch:13	Accuracy:0.21437500000000004
Epoch:14	Accuracy:0.216875
Epoch:15	Accuracy:0.21375000000000002
Epoch:16	Accuracy:0.21500000000000002
Epoch:17	Accuracy:0.21375000000000002
Epoch:18	Accuracy:0.215625
Epoch:19	Accuracy:0.216875
Epoch:20	Accuracy:0.21625
Epoch:21	Accuracy:0.21625
Epoch:22	Accuracy:0.21500000000000002
Epoch:23	Accuracy:0.21875
Epoch:24	Accuracy:0.21937500000000001
Epoch:25	Accuracy:0.21875000000000006
Epoch:26	Accuracy:0.220625
Epoch:27	Accuracy:0.22125000000000009
Epoch:28	Accuracy:0.225
Epoch:29	Accuracy:0.22937499999999997
Epoch:30	Accuracy:0.22875
Epoch:31	Accuracy:0.23562499999999997
Epoch:32	Accuracy:0.2475
Epoch:33	Accuracy:0.246875
Epoch:34	Accuracy:0.25
Epoch:35	Accuracy:0.24562499999999998
Epoch:36	Accuracy:0.25250000000000006
Epoch:37	Accuracy:0.259375
Epoch:38	Accuracy:0.260625
Epoch:39	Accuracy:0.261875
Epoch:40	Accuracy:0.24874999999999997
Epoch:41	Accuracy:0.26437499999999997
Epoch:42	Accuracy:0.26249999999999996
Epoch:43	Accuracy:0.259375
Epoch:44	Accuracy:0.270625
Epoch:45	Accuracy:0.26999999999999996
Epoch:46	Accuracy:0.27374999999999994
