Epoch:0	Accuracy:0.10625
Epoch:1	Accuracy:0.1125
Epoch:2	Accuracy:0.205
Epoch:3	Accuracy:0.21437500000000004
Epoch:4	Accuracy:0.21375000000000005
Epoch:5	Accuracy:0.21500000000000002
Epoch:6	Accuracy:0.21375000000000002
Epoch:7	Accuracy:0.21437500000000004
Epoch:8	Accuracy:0.21437500000000004
Epoch:9	Accuracy:0.21500000000000002
Epoch:10	Accuracy:0.213125
Epoch:11	Accuracy:0.21562500000000004
Epoch:12	Accuracy:0.21500000000000002
Epoch:13	Accuracy:0.21375000000000002
Epoch:14	Accuracy:0.213125
Epoch:15	Accuracy:0.21375000000000002
Epoch:16	Accuracy:0.21500000000000002
Epoch:17	Accuracy:0.21500000000000002
Epoch:18	Accuracy:0.21375000000000002
Epoch:19	Accuracy:0.21375000000000002
Epoch:20	Accuracy:0.21437500000000004
Epoch:21	Accuracy:0.21375000000000002
Epoch:22	Accuracy:0.21437500000000004
Epoch:23	Accuracy:0.21500000000000002
Epoch:24	Accuracy:0.21375000000000002
Epoch:25	Accuracy:0.21437500000000004
Epoch:26	Accuracy:0.21437500000000004
Epoch:27	Accuracy:0.21375000000000002
Epoch:28	Accuracy:0.215625
Epoch:29	Accuracy:0.21437500000000004
Epoch:30	Accuracy:0.215625
Epoch:31	Accuracy:0.21375000000000002
Epoch:32	Accuracy:0.21375000000000002
Epoch:33	Accuracy:0.21500000000000002
Epoch:34	Accuracy:0.21375000000000002
Epoch:35	Accuracy:0.21500000000000002
Epoch:36	Accuracy:0.216875
Epoch:37	Accuracy:0.21562500000000004
Epoch:38	Accuracy:0.21500000000000002
Epoch:39	Accuracy:0.21500000000000002
Epoch:40	Accuracy:0.21437500000000004
Epoch:41	Accuracy:0.21500000000000002
Epoch:42	Accuracy:0.21437500000000004
Epoch:43	Accuracy:0.216875
Epoch:44	Accuracy:0.21375000000000002
Epoch:45	Accuracy:0.21375000000000005
Epoch:46	Accuracy:0.215625
Epoch:47	Accuracy:0.21625
Epoch:48	Accuracy:0.21500000000000002
Epoch:49	Accuracy:0.21812499999999999
Epoch:50	Accuracy:0.21562500000000004
Epoch:51	Accuracy:0.21812500000000004
Epoch:52	Accuracy:0.216875
Epoch:53	Accuracy:0.21812500000000004
Epoch:54	Accuracy:0.21875
Epoch:55	Accuracy:0.21812500000000004
Epoch:56	Accuracy:0.21999999999999997
Epoch:57	Accuracy:0.2225
Epoch:58	Accuracy:0.22000000000000003
Epoch:59	Accuracy:0.22750000000000004
Epoch:60	Accuracy:0.22875
Epoch:61	Accuracy:0.23000000000000007
Epoch:62	Accuracy:0.22875
Epoch:63	Accuracy:0.23125000000000004
Epoch:64	Accuracy:0.23187500000000005
Epoch:65	Accuracy:0.2325
Epoch:66	Accuracy:0.23312499999999997
Epoch:67	Accuracy:0.23625
Epoch:68	Accuracy:0.231875
Epoch:69	Accuracy:0.23374999999999999
Epoch:70	Accuracy:0.2325
Epoch:71	Accuracy:0.23374999999999999
Epoch:72	Accuracy:0.24
Epoch:73	Accuracy:0.23999999999999994
Epoch:74	Accuracy:0.23625
Epoch:75	Accuracy:0.23187499999999997
Epoch:76	Accuracy:0.23687500000000003
Epoch:77	Accuracy:0.23374999999999999
Epoch:78	Accuracy:0.23687500000000003
Epoch:79	Accuracy:0.23312499999999997
Epoch:40	Accuracy:0.21437500000000004
Epoch:42	Accuracy:0.21437500000000004
Epoch:44	Accuracy:0.21375000000000002
Epoch:46	Accuracy:0.21375000000000002
Epoch:48	Accuracy:0.21437500000000004
Epoch:50	Accuracy:0.213125
Epoch:52	Accuracy:0.21500000000000002
Epoch:54	Accuracy:0.21625000000000005
Epoch:56	Accuracy:0.21937500000000001
Epoch:58	Accuracy:0.22125000000000003
Epoch:60	Accuracy:0.22437500000000005
Epoch:62	Accuracy:0.22937500000000002
Epoch:64	Accuracy:0.22812500000000005
Epoch:66	Accuracy:0.231875
Epoch:68	Accuracy:0.23062500000000002
Epoch:70	Accuracy:0.23312500000000003
Epoch:72	Accuracy:0.23125
Epoch:74	Accuracy:0.23249999999999998
Epoch:76	Accuracy:0.23500000000000001
Epoch:78	Accuracy:0.23562500000000003
