Epoch:0	SE:2.7592902183532715
Epoch:1	SE:2.0366265773773193
Epoch:2	SE:1.1923500299453735
Epoch:3	SE:1.1840708255767822
Epoch:4	SE:1.1807770729064941
Epoch:5	SE:1.1755411624908447
Epoch:6	SE:1.17085599899292
Epoch:7	SE:1.1689865589141846
Epoch:8	SE:1.163753628730774
Epoch:9	SE:1.1587072610855103
Epoch:10	SE:1.153741717338562
Epoch:11	SE:1.1547702550888062
Epoch:12	SE:1.1471953392028809
Epoch:13	SE:1.144978642463684
Epoch:14	SE:1.1390174627304077
Epoch:15	SE:1.133808970451355
Epoch:16	SE:1.1342693567276
Epoch:17	SE:1.1317144632339478
Epoch:18	SE:1.124789834022522
Epoch:19	SE:1.1247738599777222
Epoch:20	SE:1.1182907819747925
Epoch:21	SE:1.1167575120925903
Epoch:22	SE:1.1151245832443237
Epoch:23	SE:1.11599862575531
Epoch:24	SE:1.1149438619613647
Epoch:25	SE:1.1093988418579102
Epoch:26	SE:1.1109083890914917
Epoch:27	SE:1.1070513725280762
Epoch:28	SE:1.105691909790039
Epoch:29	SE:1.1038968563079834
